project_id,name,path,classification,hw_score
68853049,Mock Turtle,ohwr/project/mock-turtle,hardware,0
68852989,urv-core,ohwr/project/urv-core,hardware,0
68852950,FMC ADC 400k 18b 4cha iso,ohwr/project/fmc-adc-400k18b4cha-iso,hardware,25
68852932,FMC ADC 400k 18b 4cha iso - Gateware,ohwr/project/fmc-adc-400k18b4cha-iso-gw,not_hardware,0
68852891,FMC ADC 400k 18b 4cha iso - Hardware,ohwr/project/fmc-adc-400k18b4cha-iso-hw,hardware,42
68852824,FMC ADC 400k 18b 4cha iso - Software,ohwr/project/fmc-adc-400k18b4cha-iso-sw,not_hardware,0
68852797,FMC DIO 10I 8O,ohwr/project/fmc-dio-10i-8o,hardware,223
68852744,Humanitarian projects,ohwr/project/humanitarian,empty_respository,0
68852691,UV-watch,ohwr/project/uv-watch,hardware,27
68852668,UV-mask,ohwr/project/uv-mask,hardware,53
68852629,fmc dac 600m 12b 1cha dds - Testing,ohwr/project/fmc-dac-600m-12b-1cha-tst,hardware,0
68852572,Absolute Encoder VHDL core,ohwr/project/absenc,not_hardware,0
68852530,VME RTM,ohwr/project/vme-rtm,not hardware,2
68852498,VMR-DIO-24ch-DCI,ohwr/project/vmr-dio-24ch-dci,ambiguous,11
68852445,MasterFIP - Hardware,ohwr/project/masterfip-hw,not hardware,5
68852392,Data centre environmental sensors,ohwr/project/dces,empty_respository,0
68852377,DCES-DTRHF-SER1CH-v1 ,ohwr/project/dces-dtrhf-ser1ch-v1,not_hardware,0
68852326,FMC SFP 4cha,ohwr/project/fmc-sfp-4cha,hardware,0
68852301,FPGA and ARM SoC FMC Carrier FASEC,ohwr/project/fasec,not_hardware,0
68852256,FMC DEL 1ns 2cha,ohwr/project/fmc-del-1ns-2cha,hardware,0
68852231,WRXI - White Rabbit eXtensions for Instrumentation,ohwr/project/wrxi,not hardware,5
68852206,Dual AMC Carrier,ohwr/project/amc-carrier-2-sl,hardware,0
68852161,Rackable 19 projects,ohwr/project/rack-19,empty_respository,0
